"Main","WeekDay","SumOfTotalVolume"
" LAIRD DR ","Saturday",39086
" LAIRD DR ","Thursday",56388
" LAIRD DR ","Tuesday",19966
" LAIRD DR ","Wednesday",17107
" LAKE SHORE BLVD E ","Monday",201888
" LAKE SHORE BLVD E ","Saturday",74313
" LAKE SHORE BLVD E ","Thursday",47023
" LAKE SHORE BLVD E ","Tuesday",23726
" LAKE SHORE BLVD E ","Wednesday",88832
" LAKE SHORE BLVD W ","Friday",12247
" LAKE SHORE BLVD W ","Monday",274183
" LAKE SHORE BLVD W ","Saturday",247497
" LAKE SHORE BLVD W ","Thursday",397111
" LAKE SHORE BLVD W ","Tuesday",307096
" LAKE SHORE BLVD W ","Wednesday",456174
" LANSDOWNE AVE ","Monday",24952
" LANSDOWNE AVE ","Saturday",42016
" LANSDOWNE AVE ","Thursday",14744
" LAWRENCE AVE E ","Monday",533345
" LAWRENCE AVE E ","Saturday",151068
" LAWRENCE AVE E ","Thursday",265768
" LAWRENCE AVE E ","Tuesday",585307
" LAWRENCE AVE E ","Wednesday",370780
" LAWRENCE AVE W ","Friday",57542
" LAWRENCE AVE W ","Monday",262190
" LAWRENCE AVE W ","Saturday",27442
" LAWRENCE AVE W ","Thursday",268092
" LAWRENCE AVE W ","Tuesday",161226
" LAWRENCE AVE W ","Wednesday",264193
" LEBOVIC AVE ","Thursday",10552
" LESLIE ST ","Friday",24848
" LESLIE ST ","Monday",229015
" LESLIE ST ","Saturday",186440
" LESLIE ST ","Thursday",120291
" LESLIE ST ","Tuesday",119557
" LESLIE ST ","Wednesday",237713
" LOWER JARVIS ST ","Thursday",17600
" LOWER JARVIS ST ","Tuesday",17635
" LOWER SHERBOURNE ST ","Wednesday",19310
" LOWER SIMCOE ST ","Monday",15652
" LUMSDEN AVE ","Thursday",18950
" LUMSDEN AVE ","Tuesday",11938
" LUMSDEN AVE ","Wednesday",11664
" MAIN ST ","Saturday",45496
" MARKHAM RD ","Monday",34012
" MARKHAM RD ","Saturday",440408
" MARKHAM RD ","Thursday",16372
" MARKHAM RD ","Tuesday",268524
" MARKHAM RD ","Wednesday",293072
" MARLEE AVE ","Monday",28458
" MARLEE AVE ","Tuesday",53892
" MARTIN GROVE RD ","Monday",123146
" MARTIN GROVE RD ","Saturday",46202
" MARTIN GROVE RD ","Thursday",57196
" MARTIN GROVE RD ","Tuesday",312746
" MARTIN GROVE RD ","Wednesday",22944
" MCCOWAN RD ","Monday",256566
" MCCOWAN RD ","Saturday",300600
" MCCOWAN RD ","Thursday",157729
" MCCOWAN RD ","Tuesday",6698
" MCCOWAN RD ","Wednesday",217836
" MCLEVIN AVE ","Monday",22972
" MCLEVIN AVE ","Thursday",24044
" MCLEVIN AVE ","Wednesday",12474
" MCNICOLL AVE ","Monday",32104
" MCNICOLL AVE ","Thursday",93683
" MCNICOLL AVE ","Tuesday",39248
" MCNICOLL AVE ","Wednesday",32901
" MEADOWVALE RD ","Sunday",15618
