id,user,created_at,text,clean_text
1004417594252845056,MichaelTheGeek,2018-06-06 17:39:50,Apple Executive Greg Joswiak Dismisses Planned Obsolescence as 'Craziest Thinking in the World'      #WWDC,Apple Executive Greg Joswiak Dismisses Planned Obsolescence as 'Craziest Thinking in the World'      WWDC
1004417590742192128,vibalnyc,2018-06-06 17:39:49,Whaaat? Just a little collab with Apple and Pixar. NBD. Get a preview of what’s in store for AR content creation with Adobe’s Project Aero – first seen at #WWDC – and our collaboration with Apple and Pixar: https://t.co/ACZmNg0jQx https://t.co/gJ1ZOcefpF,Whaaat Just a little collab with Apple and Pixar NBD Get a preview of whats in store for AR content creation with Adobes Project Aero  first seen at WWDC  and our collaboration with Apple and Pixar    
1004417508751826947,HomepodSleeves,2018-06-06 17:39:29,"Ice Cream 🍨 Wednesday at @LittleManDenver 
Bring your HomePod™ to life! 
Any photo, any design, any pattern. 
@HomePodSleeves

⭕️❤️

#powerful #pink #WWDC #siri #shortcuts #icecream #littleman #apple #Sound #iOS #OSX #applefan #applemusic #AppleTV #denver #colorado https://t.co/6PIIMpoMfm",Ice Cream  Wednesday at LittleManDenver  Bring your HomePod to life  Any photo any design any pattern  HomePodSleeves    powerful pink WWDC siri shortcuts icecream littleman apple Sound iOS OSX applefan applemusic AppleTV denver colorado  
1004416626618335234,shalomormsby,2018-06-06 17:35:59,"The AR tech that Apple and @Adobe demoed at #WWDC has tons of potential for those who need assistive technology. Delighted that AR tech is finally mainstreaming, and eager to apply it for the cause. Check out Project Aero: https://t.co/7kNwnEKH2N
#AR #assistivetechnology #bionics",The AR tech that Apple and Adobe demoed at WWDC has tons of potential for those who need assistive technology Delighted that AR tech is finally mainstreaming and eager to apply it for the cause Check out Project Aero   AR assistivetechnology bionics
1004415242955132929,FollowAurelius,2018-06-06 17:30:29,"From the perspective of consumers, Apple’s entrance into the AI democratization game should be a positive – and not just for those invested into Apple’s ecosystem. https://t.co/XnvE3AXF13 via @WIRED #AI #ArtificialIntelligence #Apple #WWDC",From the perspective of consumers Apples entrance into the AI democratization game should be a positive  and not just for those invested into Apples ecosystem   via WIRED AI ArtificialIntelligence Apple WWDC
1004415168334499840,ultimatedeath11,2018-06-06 17:30:11,So I know I wasn't at #WWDC but did anyone that was there LIKE the changes or what they announced? I felt kinda underwhelmed. Let me know,So I know I wasn't at WWDC but did anyone that was there LIKE the changes or what they announced I felt kinda underwhelmed Let me know
1004415147266531328,bmichaelgroff,2018-06-06 17:30:06,"I like it.

#apple #Apple #WWDC #WWDC18 #IOS #iOS12 #iOS11 #iosbeta https://t.co/WFCWWXpSVj",I like it  apple Apple WWDC WWDC18 IOS iOS12 iOS11 iosbeta  
1004414902121816064,lostincode,2018-06-06 17:29:08,Siri is about to level up big time 🤘 #wwdc,Siri is about to level up big time  wwdc
1004413756581900288,YouthAppps,2018-06-06 17:24:35,Calzy 3 iOS App - India's First iOS App to Win an Apple Design Award. https://t.co/hvmSSStiE5 #Calzy #Calculator #CalculatorApp #iOSApp #AppleDesignAward #WWDC #YouthApps @calzy3 https://t.co/s2nZQkYaHq,Calzy 3 iOS App  India's First iOS App to Win an Apple Design Award   Calzy Calculator CalculatorApp iOSApp AppleDesignAward WWDC YouthApps calzy3  
1004413381170917376,usnews,2018-06-06 17:23:05,#WWDC has given analysts a better idea of what to expect from @Apple. https://t.co/DNGHxvrmxv $AAPL,WWDC has given analysts a better idea of what to expect from Apple   AAPL
1004412663403704320,StuFFmc,2018-06-06 17:20:14,"Except your French is Canadian French, @Apple, not french from France or Belgium :( killing me. #punctuation #wwdc",Except your French is Canadian French Apple not french from France or Belgium  killing me punctuation wwdc
1004412436944830464,smeidu,2018-06-06 17:19:20,Just had a 30min session with Apple‘s Accessibility team at #WWDC. Super helpful feedback. #A11y #Design #AtScale,Just had a 30min session with Apples Accessibility team at WWDC Super helpful feedback A11y Design AtScale
